"word,""count"",""Filename"";""Filename"""
"britains,""3"",""2020-06-11.csv"";"
"murky,""3"",""2020-06-11.csv"";"
"talks,""3"",""2020-06-11.csv"";"
"anyone,""3"",""2020-06-11.csv"";"
"shared,""3"",""2020-06-11.csv"";"
"truth,""3"",""2020-06-11.csv"";"
"judge,""3"",""2020-06-11.csv"";"
"kind,""3"",""2020-06-11.csv"";"
"demonstration,""3"",""2020-06-11.csv"";"
"mnning,""3"",""2020-06-11.csv"";"
"mob,""3"",""2020-06-11.csv"";"
"berlin,""3"",""2020-06-11.csv"";"
"wall,""3"",""2020-06-11.csv"";"
"im,""3"",""2020-06-11.csv"";"
"took,""3"",""2020-06-11.csv"";"
"upon,""3"",""2020-06-11.csv"";"
"forgotten,""3"",""2020-06-11.csv"";"
"sleepwalking,""3"",""2020-06-11.csv"";"
"disaster,""3"",""2020-06-11.csv"";"
"mindboggling,""3"",""2020-06-11.csv"";"
"ignored,""3"",""2020-06-11.csv"";"
"justify,""3"",""2020-06-11.csv"";"
"williams,""3"",""2020-06-11.csv"";"
"wanted,""3"",""2020-06-11.csv"";"
"tessas,""3"",""2020-06-11.csv"";"
"productive,""3"",""2020-06-11.csv"";"
"racial,""3"",""2020-06-11.csv"";"
"action,""3"",""2020-06-11.csv"";"
"act,""3"",""2020-06-11.csv"";"
"politicians,""3"",""2020-06-11.csv"";"
"commemorating,""3"",""2020-06-11.csv"";"
"counterproductive,""3"",""2020-06-11.csv"";"
